Column_Name,Data_Type,Non_Null_Count,Null_Count,Null_Percentage,Unique_Values,Is_Process_Variable,Is_Raman,Mean,Std,Min,Max
Time (h),float64,113935,0,0.0,1450,Yes,No,114.75065607583271,66.99050429007208,0.2,290.0
Aeration rate(Fg:L/h),int64,113935,0,0.0,7,Yes,No,65.24635976653354,11.69021466702357,20.0,75.0
Agitator RPM(RPM:RPM),int64,113935,0,0.0,1,Yes,No,100.0,0.0,100.0,100.0
Sugar feed rate(Fs:L/h),int64,113935,0,0.0,25,Yes,No,76.66376442708562,25.680133819993472,2.0,150.0
Acid flow rate(Fa:L/h),float64,113935,0,0.0,1353,Yes,No,0.0732093689384298,0.5527880309882255,0.0,12.996
Base flow rate(Fb:L/h),float64,113935,0,0.0,67206,Yes,No,61.33438929542273,44.972713134440696,0.0,225.0
Heating/cooling water flow rate(Fc:L/h),float64,113935,0,0.0,77380,Yes,No,74.34634136721438,108.02260023583524,0.0001,1500.0
Heating water flow rate(Fh:L/h),float64,113935,0,0.0,54534,Yes,No,20.763025445749154,50.23026631266985,0.0001,1500.0
Water for injection/dilution(Fw:L/h),int64,113935,0,0.0,6,Yes,No,154.8119541844034,155.6014738054647,0.0,500.0
Air head pressure(pressure:bar),float64,113935,0,0.0,6,Yes,No,0.9450256725325844,0.13426891572649582,0.6,1.1
Dumped broth flow(Fremoved:L/h),int64,113935,0,0.0,2,Yes,No,-214.5082722604994,901.1250841455142,-4000.0,0.0
Substrate concentration(S:g/L),float64,113935,0,0.0,64531,Yes,No,4.0798169986122925,13.303516605852916,6.0477e-06,115.27
Dissolved oxygen concentration(DO2:mg/L),float64,113935,0,0.0,11087,Yes,No,12.5696468179225,1.4986797877108489,1.0,16.508
Penicillin concentration(P:g/L),float64,113935,0,0.0,56258,Yes,No,14.333945822667047,9.932453292419977,3.6947e-26,36.183
Vessel Volume(V:L),int64,113935,0,0.0,28296,Yes,No,73312.86544082152,8599.642159696321,56549.0,95716.0
Vessel Weight(Wt:Kg),float64,113935,0,0.0,31711,Yes,No,81076.72851187081,10097.227390191363,60395.0,107010.0
pH(pH:pH),float64,113935,0,0.0,3990,Yes,No,6.496565131873437,0.06567631480722318,5.3957,6.7664
Temperature(T:K),float64,113935,0,0.0,393,Yes,No,298.0264889630052,0.19751316046482695,296.84,302.18
Generated heat(Q:kJ),float64,113935,0,0.0,51059,Yes,No,279.0725616157897,139.98244471838015,1e-06,1712.9
carbon dioxide percent in off-gas(CO2outgas:%),float64,113935,0,0.0,28416,Yes,No,1.4440418003335236,0.4989550615000579,0.075425,7.1214
PAA flow(Fpaa:PAA flow (L/h)),float64,113935,0,0.0,22931,Yes,No,7.642711627873788,3.5602044221133218,0.0,15.0
PAA concentration offline(PAA_offline:PAA (g L^{-1})),float64,2062,111873,98.19019616447974,1563,Yes,No,1887.7503491755576,1581.4779972709957,393.1,11524.0
Oil flow(Foil:L/hr),int64,113935,0,0.0,9,Yes,No,26.352788870847412,4.954932896581157,22.0,35.0
NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),float64,2062,111873,98.19019616447974,1759,Yes,No,1961.8432589718718,542.2870611328923,1391.6,5170.0
Oxygen Uptake Rate(OUR:(g min^{-1})),float64,113935,0,0.0,35065,Yes,No,1.2582084223732832,0.46327349066558193,-1.242,6.7611
Oxygen in percent in off-gas(O2:O2  (%)),float64,113935,0,0.0,3095,Yes,No,0.19145764067231316,0.0047177904387823355,0.1295,0.22751
Offline Penicillin concentration(P_offline:P(g L^{-1})),float64,2062,111873,98.19019616447974,1919,Yes,No,14.43944939772066,10.260905838435491,3.6947e-26,36.18
Offline Biomass concentratio(X_offline:X(g L^{-1})),float64,2062,111873,98.19019616447974,1934,Yes,No,18.799095281280312,7.016321415408354,0.39381,27.882
Carbon evolution rate(CER:g/h),float64,113935,0,0.0,35059,Yes,No,1.250102707008382,0.48409448386456144,0.028685,2.0488
Ammonia shots(NH3_shots:kgs),int64,113935,0,0.0,1,Yes,No,0.0,0.0,0.0,0.0
Viscosity(Viscosity_offline:centPoise),float64,2062,111873,98.19019616447974,1976,Yes,No,51.546454267701264,24.07377763820481,4.0753,117.93
Fault reference(Fault_ref:Fault ref),int64,113935,0,0.0,2,Yes,No,0.011023829376398824,0.10441455957829199,0.0,1.0
0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),int64,113935,0,0.0,2,Yes,No,0.3017948830473516,0.45903875768758057,0.0,1.0
1- No Raman spec,int64,113935,0,0.0,2,Yes,No,1.2957826831087902,0.4563957884247369,1.0,2.0
 1-Raman spec recorded,int64,113935,0,0.0,100,Yes,No,50.40246631851494,28.862140477433574,1.0,100.0
2-PAT control(PAT_ref:PAT ref),int64,113935,0,0.0,100,Yes,No,50.40246631851494,28.862140477433574,1.0,100.0
Batch reference(Batch_ref:Batch ref),int64,113935,0,0.0,2,Yes,No,0.10115416684951946,0.3015340766844242,0.0,1.0
Batch ID,float64,113935,0,0.0,47361,Yes,No,89307.0036160969,47765.75108229089,0.0,194630.0
Fault flag,float64,113935,0,0.0,47831,Yes,No,89402.12791503928,47852.68311546247,0.0,195340.0
2400,float64,113935,0,0.0,48217,No,Yes,89663.42885855971,47941.88198277109,0.0,196100.0
2399,float64,113935,0,0.0,48229,No,Yes,90017.19849036731,48032.65701978234,0.0,196770.0
2398,float64,113935,0,0.0,48298,No,Yes,90321.59558520209,48123.22014411011,0.0,197600.0
2397,float64,113935,0,0.0,48416,No,Yes,90488.4737174705,48211.63415065862,0.0,198210.0
2396,float64,113935,0,0.0,48586,No,Yes,90484.14990125949,48296.92994106092,0.0,198690.0
2395,float64,113935,0,0.0,48709,No,Yes,90431.78906393997,48381.46255459455,0.0,198940.0
2394,float64,113935,0,0.0,48906,No,Yes,90511.43902224953,48468.27652855904,0.0,199210.0
2393,float64,113935,0,0.0,48933,No,Yes,90706.9890727169,48556.89266602509,0.0,199680.0
2392,float64,113935,0,0.0,49007,No,Yes,90877.2739017861,48645.14839897078,0.0,200100.0
2391,float64,113935,0,0.0,48971,No,Yes,91011.03368587352,48732.89364466709,0.0,200550.0
2390,float64,113935,0,0.0,49056,No,Yes,91197.875516742,48821.66708990643,0.0,201020.0
2389,float64,113935,0,0.0,49155,No,Yes,91426.83186027121,48911.832404681845,0.0,201580.0
2388,float64,113935,0,0.0,49208,No,Yes,91596.04465704129,49000.99162034091,0.0,202070.0
2387,float64,113935,0,0.0,49238,No,Yes,91696.14641681661,49089.02668817924,0.0,202500.0
2386,float64,113935,0,0.0,49439,No,Yes,91843.86029753806,49178.02892517369,0.0,202980.0
2385,float64,113935,0,0.0,49449,No,Yes,92105.05242462808,49268.896283619324,0.0,203560.0
2384,float64,113935,0,0.0,49345,No,Yes,92381.9440558213,49360.17774356586,0.0,204130.0
2383,float64,113935,0,0.0,49452,No,Yes,92526.6384517488,49449.284436409114,0.0,204530.0
2382,float64,113935,0,0.0,49548,No,Yes,92518.36438320095,49535.8841893793,0.0,204770.0
2381,float64,113935,0,0.0,49614,No,Yes,92490.61960767105,49622.273509432176,0.0,204980.0
2380,float64,113935,0,0.0,49728,No,Yes,92585.11633826305,49710.63922848312,0.0,205430.0
2379,float64,113935,0,0.0,49797,No,Yes,92789.97043050862,49800.84759221447,0.0,205970.0
2378,float64,113935,0,0.0,49719,No,Yes,92969.0791591697,49890.67437232067,0.0,206440.0
2377,float64,113935,0,0.0,49837,No,Yes,93072.22604116383,49979.37906608552,0.0,206840.0
2376,float64,113935,0,0.0,49788,No,Yes,93222.50216351429,50069.013501433714,0.0,207330.0
2375,float64,113935,0,0.0,49777,No,Yes,93523.42509325493,50161.08071135457,0.0,207920.0
2374,float64,113935,0,0.0,49809,No,Yes,93870.65188923509,50254.02050264972,0.0,208550.0
2373,float64,113935,0,0.0,49832,No,Yes,94063.24520121122,50344.562153148865,0.0,208990.0
2372,float64,113935,0,0.0,49878,No,Yes,94070.38924825558,50432.04746316727,0.0,209240.0
2371,float64,113935,0,0.0,50012,No,Yes,94081.35461447317,50519.765475334796,0.0,209480.0
2370,float64,113935,0,0.0,49914,No,Yes,94271.26981173476,50610.48945682324,0.0,209920.0
2369,float64,113935,0,0.0,49756,No,Yes,94604.35419318032,50703.59141406928,0.0,210630.0
2368,float64,113935,0,0.0,49733,No,Yes,94914.72883661737,50796.421796273804,0.0,211340.0
2367,float64,113935,0,0.0,49757,No,Yes,95100.07973844736,50887.21107329601,0.0,211900.0
2366,float64,113935,0,0.0,49927,No,Yes,95188.27888708474,50976.432675657634,0.0,212360.0
2365,float64,113935,0,0.0,50034,No,Yes,95277.77113266336,51065.68510168845,0.0,212830.0
2364,float64,113935,0,0.0,50028,No,Yes,95434.41144512221,51156.2179026322,0.0,213340.0
2363,float64,113935,0,0.0,50028,No,Yes,95610.37947075086,51247.207384819674,0.0,213960.0
2362,float64,113935,0,0.0,49999,No,Yes,95714.10087330495,51337.112175946975,0.0,214540.0
2361,float64,113935,0,0.0,50155,No,Yes,95775.44940536271,51426.29327444832,0.0,215040.0
2360,float64,113935,0,0.0,50039,No,Yes,95913.91073857901,51516.890988801475,0.0,215620.0
2359,float64,113935,0,0.0,49951,No,Yes,96132.54286215825,51608.75901825219,0.0,216270.0
2358,float64,113935,0,0.0,50016,No,Yes,96319.12256988634,51700.23508265185,0.0,216880.0
2357,float64,113935,0,0.0,50061,No,Yes,96444.8830561285,51790.75487798624,0.0,217400.0
2356,float64,113935,0,0.0,50021,No,Yes,96567.81030412077,51881.22779511975,0.0,217880.0
2355,float64,113935,0,0.0,50042,No,Yes,96670.62622547944,51971.56079863229,0.0,218340.0
2354,float64,113935,0,0.0,50180,No,Yes,96694.60308948085,52060.80257278641,0.0,218680.0
2353,float64,113935,0,0.0,50304,No,Yes,96696.85286347479,52149.99989908232,0.0,218980.0
2352,float64,113935,0,0.0,50226,No,Yes,96804.22260938254,52241.03295837292,0.0,219430.0
