penicillin,batch_id,time
1.0178e-25,0.0,0.2
0.001,0.0,0.4
0.00099934,0.0,0.6
0.00099874,0.0,0.8
0.00099821,0.0,1.0
0.00099771,0.0,1.2
0.00099722,0.0,1.4
0.00099674,0.0,1.6
0.00099627,0.0,1.8
0.0009958,0.0,2.0
0.0009953,21267.0,2.2
0.00099477,21763.0,2.4
0.00099421,22258.0,2.6
0.00099363,22254.0,2.8
0.00099306,22249.0,3.0
0.00099251,22245.0,3.2
0.00099198,22240.0,3.4
0.00099147,21735.0,3.6
0.00099095,21231.0,3.8
0.00099039,22226.0,4.0
0.00098981,22221.0,4.2
0.00098922,21717.0,4.4
0.00098863,21212.0,4.6
0.00098806,21207.0,4.8
0.00098753,21702.0,5.0
0.00098702,21198.0,5.2
0.00098651,22193.0,5.4
0.00098597,21688.0,5.6
0.0009854,21683.0,5.8
0.00098481,21178.0,6.0
0.00098423,22173.0,6.2
0.00098366,21668.0,6.4
0.00098312,21163.0,6.6
0.00098259,21659.0,6.8
0.00098207,21154.0,7.0
0.00098153,22149.0,7.2
0.00098096,22144.0,7.4
0.00098037,21139.0,7.6
0.00097977,22134.0,7.8
0.00097918,21129.0,8.0
0.00097861,22123.0,8.2
0.00097805,22118.0,8.4
0.00097751,22113.0,8.6
0.00097695,21108.0,8.8
0.00097638,21603.0,9.0
0.00097579,21598.0,9.2
0.00097518,21093.0,9.4
0.00097454,21087.0,9.6
0.00097391,21582.0,9.8
0.00097327,22077.0,10.0
0.00097265,21571.0,10.2
0.00097204,21566.0,10.4
0.00097143,21561.0,10.6
0.00097082,22055.0,10.8
0.00097019,21050.0,11.0
0.00096956,21045.0,11.2
0.00096891,21039.0,11.4
0.00096826,22034.0,11.6
0.0009676,22028.0,11.8
0.00096693,21523.0,12.0
0.00096622,21517.0,12.2
0.00096551,21512.0,12.4
0.00096484,21506.0,12.6
0.00096422,22001.0,12.8
0.00096365,20995.0,13.0
0.00096311,20990.0,13.2
0.00096254,21484.0,13.4
0.00096194,21979.0,13.6
0.00096128,21973.0,13.8
0.00096059,20968.0,14.0
0.00095989,21462.0,14.2
0.00095921,21456.0,14.4
0.00095857,21951.0,14.6
0.00095798,21945.0,14.8
0.00095742,21940.0,15.0
0.00095685,21434.0,15.2
0.00095625,21929.0,15.4
0.00095563,21423.0,15.6
0.00095499,21417.0,15.8
0.00095435,20912.0,16.0
0.00095358,20906.0,16.2
0.00095282,21401.0,16.4
0.00095204,21895.0,16.6
0.00095123,21889.0,16.8
0.00095039,21884.0,17.0
0.00094954,21378.0,17.2
0.00094868,20872.0,17.4
0.00094784,20867.0,17.6
0.000947,21861.0,17.8
0.0009462,21355.0,18.0
0.0009454,21349.0,18.2
0.00094462,21844.0,18.4
0.00094384,20838.0,18.6
0.00094305,20832.0,18.8
0.00094224,21326.0,19.0
0.00094142,21321.0,19.2
0.00094059,21815.0,19.4
0.00093977,21809.0,19.6
0.00093895,21303.0,19.8
0.00093814,21297.0,20.0
0.00093711,20792.0,20.2
0.00093607,21786.0,20.4
0.00093498,20780.0,20.6
0.00093384,20774.0,20.8
0.00093265,21768.0,21.0
0.00093141,21762.0,21.2
0.00093011,21256.0,21.4
0.00092876,20750.0,21.6
0.00092736,21744.0,21.8
0.00092591,21738.0,22.0
0.00092441,21732.0,22.2
0.00092287,20726.0,22.4
0.00092132,21720.0,22.6
0.00091977,21214.0,22.8
0.00091823,21708.0,23.0
0.00091668,21202.0,23.2
0.00091515,21696.0,23.4
0.00091362,21189.0,23.6
0.00091209,21683.0,23.8
0.00091056,20677.0,24.0
0.015465,21742.0,24.2
0.032763,20821.0,24.4
0.049979,21399.0,24.6
0.067269,21978.0,24.8
0.08488,21058.0,25.0
0.10275,22139.0,25.2
0.12142,21724.0,25.4
0.14038,21311.0,25.6
0.16038,21903.0,25.8
0.18051,22495.0,26.0
0.20077,22589.0,26.2
0.22149,22684.0,26.4
0.24241,22280.0,26.6
0.26351,21877.0,26.8
0.28543,21979.0,27.0
0.30762,23081.0,27.2
0.3298,22184.0,27.4
0.35212,22787.0,27.6
0.37468,23391.0,27.8
0.39754,22497.0,28.0
0.41529,23078.0,28.2
0.43233,23655.0,28.4
0.44924,23232.0,28.6
0.46686,23312.0,28.8
0.48508,22895.0,29.0
0.50446,23483.0,29.2
0.52479,24077.0,29.4
0.54615,24175.0,29.6
0.5677,23275.0,29.8
0.58969,23376.0,30.0
0.61246,23981.0,30.2
0.63558,24088.0,30.4
0.65872,23696.0,30.6
0.68167,24302.0,30.8
0.70427,24906.0,31.0
0.72684,25011.0,31.2
0.74975,24617.0,31.4
0.77397,24729.0,31.6
0.79883,25345.0,31.8
0.82367,24460.0,32.0
0.84346,25551.0,32.2
0.86269,25139.0,32.4
0.88244,24729.0,32.6
0.90323,25325.0,32.8
0.92505,25425.0,33.0
0.94832,26033.0,33.2
0.97227,25144.0,33.4
0.99712,25260.0,33.6
1.0234,25382.0,33.8
1.0498,25505.0,34.0
1.0764,26129.0,34.2
1.103,26753.0,34.4
1.1296,26377.0,34.6
1.1566,27003.0,34.8
1.1845,26634.0,35.0
1.2134,26769.0,35.2
1.2425,27405.0,35.4
1.2717,26542.0,35.6
1.3012,27680.0,35.8
1.3316,26823.0,36.0
1.3596,26954.0,36.2
1.3884,27588.0,36.4
1.4172,27723.0,36.6
1.4467,28361.0,36.8
1.4771,27504.0,37.0
1.5078,28148.0,37.2
1.5395,27797.0,37.4
1.5719,28449.0,37.6
1.6041,28101.0,37.8
1.6367,28254.0,38.0
1.6694,29408.0,38.2
1.7024,29063.0,38.4
1.7364,28723.0,38.6
1.7704,29884.0,38.8
1.8042,29043.0,39.0
1.8383,29703.0,39.2
1.8732,29368.0,39.4
1.9078,30531.0,39.6
1.9427,30196.0,39.8
1.9777,30361.0,40.0
2.0113,30519.0,40.2
2.0445,30176.0,40.4
2.0785,30335.0,40.6
2.1127,31497.0,40.8
2.1468,30658.0,41.0
2.1814,30820.0,41.2
2.216,31984.0,41.4
2.2515,31151.0,41.6
2.2874,32320.0,41.8
2.3235,32491.0,42.0
2.3599,32163.0,42.2
2.3967,31837.0,42.4
2.4336,33011.0,42.6
2.471,32688.0,42.8
2.5083,32364.0,43.0
2.5457,32541.0,43.2
2.5829,33217.0,43.4
2.6205,32895.0,43.6
2.6583,33073.0,43.8
2.6962,34253.0,44.0
2.7327,33425.0,44.2
2.7694,34098.0,44.4
2.8059,34271.0,44.6
2.8426,33944.0,44.8
2.8793,34617.0,45.0
2.9161,35291.0,45.2
2.9538,34469.0,45.4
2.9917,35649.0,45.6
3.0301,35330.0,45.8
3.0683,35011.0,46.0
3.1064,36191.0,46.2
3.1443,35370.0,46.4
3.1825,35551.0,46.6
3.2209,36733.0,46.8
3.26,35918.0,47.0
3.299,37102.0,47.2
3.3383,37288.0,47.4
3.3777,36975.0,47.6
3.4176,37164.0,47.8
3.4578,37854.0,48.0
3.4969,37040.0,48.2
