batch_id,Ridge_Anomaly_%,RF_Anomaly_%,XGB_Anomaly_%,Consensus_Anomaly_%,Ridge_MAE,RF_MAE,XGB_MAE
1,1.95,31.59,18.58,16.02,0.4593,0.1973,0.2072
5,0.0,35.980000000000004,17.65,17.54,0.3796,0.2148,0.1997
11,2.5700000000000003,49.8,32.48,32.57,0.4954,0.46760000000000007,0.3809
13,4.44,49.63,32.87,31.569999999999997,0.5187,0.3132,0.2781
19,1.6400000000000001,52.27,40.87,40.39,0.546,0.37189999999999995,0.3897
23,14.7,75.83,54.32,54.39000000000001,0.7963,1.2208,0.8661
27,0.66,70.05,43.13,41.71,0.5199,0.5431,0.3667
29,36.0,81.93,74.14,74.14,1.5965,2.3063,1.7752
36,0.35000000000000003,56.52,49.57,47.13,0.5322,0.4189,0.5087
40,0.0,38.17,17.740000000000002,15.22,0.397,0.1944,0.20129999999999998
41,0.33,67.24,52.18000000000001,48.809999999999995,0.4378,0.43450000000000005,0.4122
45,0.31,72.98,46.949999999999996,43.82,0.3555,0.3798,0.3477
56,0.35000000000000003,42.089999999999996,28.78,24.959999999999997,0.4458,0.2802,0.2924
57,8.799999999999999,66.41,53.76,54.53,0.6801,0.5991,0.6697
66,0.0,50.7,26.0,22.0,0.3763,0.2712,0.2569
71,2.62,51.59,30.75,28.689999999999998,0.5063,0.4239,0.3545
82,3.2199999999999998,35.3,19.220000000000002,15.22,0.5435,0.2194,0.2079
87,9.19,56.04,45.769999999999996,45.050000000000004,0.6063,0.495,0.486
92,0.35000000000000003,42.43,32.87,27.3,0.39629999999999993,0.3065,0.3189
99,0.24,61.75000000000001,36.97,35.22,0.275,0.3326,0.31
