cumulative_penicillin,substrate,RQ,specific_production_rate,substrate_rate,base_flow,DO,OUR,viscosity
-11.938444,-0.39979723,-0.75123334,0.120921865,0.01073402,-0.014149725,-0.0999794,0.15539454,-1.8411683
0.9832086,0.6706541,0.22258791,-0.10222417,-0.013463681,0.05000776,-0.3833945,-0.02091636,-0.57773656
-3.3160684,0.46694088,0.1099839,-0.21150929,-0.013050138,0.021237042,-0.35814574,-0.055039212,-1.1359205
-11.148087,-0.28940418,-0.7155029,-0.02167034,-0.011238168,-0.009470096,0.06123414,0.120064236,-1.755236
13.137786,0.74800843,0.18625835,0.27664876,-0.0074758106,-0.05354665,0.4531167,0.45876715,1.1159606
5.380835,-0.1382149,0.31438062,0.36787662,-0.07035702,0.12710546,-0.42458498,0.57847214,1.3955393
-2.680803,0.51939535,0.096410796,-0.047692563,-0.0066783824,-0.015075063,-0.3641886,-0.05791584,-1.065572
-2.2988842,0.39545366,0.21535231,-0.16311342,-0.00801636,0.083759986,-0.51013654,-0.041732028,-0.91295105
-11.987038,-0.80243367,-0.3877767,0.07668214,-0.076263204,0.04644788,-0.33830065,-0.09289536,-1.1960365
6.9409275,0.23341532,0.26408607,0.114353314,-0.015469699,-0.025295913,0.08172798,-0.37376946,0.93681633
6.452809,0.444196,0.34890965,-0.044731986,-0.01578673,-0.030497544,0.50821,0.17881913,1.0500687
-11.9861965,-0.8018629,-0.38784537,0.07551408,-0.07576883,0.04711405,-0.33870855,-0.09367915,-1.1961207
5.630582,0.43013147,0.25818157,-0.18876563,-0.013224475,-0.07429312,0.1671561,-0.24156195,-0.4090375
-11.781269,-0.12118106,-0.7201369,-0.050198328,0.0042691035,0.05158309,-0.05614014,0.12711562,-1.8276248
15.526365,0.70048267,0.1448659,0.27915084,0.007896211,0.045465216,0.32645816,0.33405545,1.6384096
3.3232498,0.441437,0.05551795,-0.09451745,-0.026544642,-0.04331365,0.12650158,-0.20650508,-0.13174587
-6.6761885,0.017684761,0.21075813,-0.38787806,-0.0037893225,-0.09837655,-0.5544867,0.046439208,-1.071512
6.2397485,0.32703874,0.44684938,-0.037343185,-0.009656364,-0.047310803,0.4454094,-0.34851348,1.162449
1.8161846,0.56737095,0.2539877,3.763588e-05,-0.02393712,0.02634069,0.03448872,-0.010464619,-0.7491208
10.281883,0.0357597,0.2214089,0.123844996,-0.17875552,0.13639474,0.22351037,0.5821214,1.3558182
-10.369891,-0.1992118,-0.32008293,-0.30692637,0.002775645,-0.086347535,0.007112969,0.0037858149,-1.3758082
10.161205,0.3466344,0.23165481,0.26502413,-0.03779079,0.2126604,-0.48753893,0.8251098,1.2031081
15.567879,0.8375169,0.76714677,-0.004842387,-0.0029467177,0.09554158,0.54390234,-0.3369201,1.4786397
6.79982,0.28432387,0.27144328,-0.07580041,-0.01541702,0.026335143,0.2504107,-0.50486356,0.0029021592
-12.011962,-0.7586916,-0.85140866,0.11373674,-0.010599195,-0.005757496,-0.017428452,0.15694447,-1.3725587
-4.8639426,0.055302896,0.19512822,-0.4237449,-0.008628297,-0.254933,-0.3221243,0.02719004,-0.9662241
10.161847,-0.07237877,0.28135398,0.42460188,-0.02507877,0.21023823,-0.05060641,0.5560305,0.9855246
11.381556,0.32832006,0.43243757,0.2949793,-0.027933264,0.16584535,0.570512,-0.27114373,1.5152578
6.2126346,0.14011377,0.14530943,-0.055398297,-0.01564173,-0.22782704,0.004174576,-0.06022767,1.2305251
-9.631002,-0.24525183,-0.36759415,-0.23834594,0.0019691847,-0.064289235,-0.061016012,-0.036677677,-1.3725679
0.60575706,0.60549694,0.20567839,-0.1670816,-0.011781488,0.032957546,0.30304307,-0.24782975,-0.60240024
-11.569483,-0.12302504,-0.7613097,-0.021037009,0.006023085,0.044964623,0.091858305,0.10301686,-1.8141358
5.0640306,0.21647291,0.25861913,0.025341278,-0.014062752,0.24663378,-0.082769245,0.1372868,0.16145194
-11.635039,-0.12192366,-0.7261724,-0.09034952,-0.010650774,0.045378797,-0.030852417,0.12125233,-1.8189237
-7.4061956,-0.09398466,0.14240132,-0.5504514,-0.005506828,-0.050802827,-0.26784924,0.04972148,-1.2053131
0.2674858,0.6225245,0.07449653,-0.10681362,-0.011410848,0.047389124,0.09281965,-0.12959523,-0.65304565
-5.385084,0.040212937,0.10789438,-0.1807574,-0.0020910546,-0.08852731,-0.29411256,-0.06293905,-1.0441935
3.444033,0.119292736,0.2893965,-0.17750166,-0.023890242,-0.23443408,0.16240586,-0.3232829,0.9000465
6.2498713,0.12742925,0.14992094,-0.117271036,0.04261631,0.13485843,0.029366829,0.5031064,1.2542473
7.659492,0.2727627,0.14733115,0.04024302,-0.026383225,-0.08625462,0.09726711,0.26974383,1.1725422
-6.3230743,-1.5555865,0.1963932,-0.14756536,-0.062401924,0.056298275,-0.45777327,0.1683826,0.7681179
12.739498,1.0122635,0.10937239,0.098141514,0.023386544,0.13929379,0.12570624,0.42126778,1.3996019
5.2232313,0.21001421,0.17641334,0.02780006,-0.021669151,-0.0121987695,0.06658172,-0.36016664,-0.08984505
10.346954,0.12381804,0.23269531,0.22040603,-0.0566823,0.17057018,0.0030895353,0.6066543,1.2060416
0.45485318,-0.46723926,0.39725307,0.025712218,-0.30428797,0.16672958,0.015085733,0.25274703,0.45188814
