batch_id,pen_mean,pen_std,pred_mean,uncertainty,coverage
1,14.8817,10.3288,14.7593,0.1957,0.7575
5,12.6368,9.5159,12.4889,0.1639,0.7196
11,15.7385,11.2313,15.4497,0.2548,0.7168
13,15.6133,10.4657,15.4133,0.2886,0.8444
19,12.8553,8.388,13.2273,0.1541,0.5227
23,19.934,12.3687,19.0752,0.3931,0.4652
27,13.0508,9.0795,13.4293,0.2135,0.5896
29,21.8448,12.7521,19.9891,0.4845,0.2876
36,12.2855,7.2024,11.8843,0.2727,0.6965
40,13.4097,8.3223,13.3613,0.203,0.847
41,15.5792,10.4095,15.879,0.2056,0.6074
45,7.7478,4.1031,8.0526,0.1931,0.5962
56,15.8332,10.548,15.9175,0.2232,0.7513
57,17.395,11.5286,16.8069,0.2951,0.6085
66,14.1861,9.479,14.2439,0.2481,0.8609
71,16.0044,11.3598,15.686,0.2314,0.6458
82,15.7883,10.4207,15.665,0.2425,0.8026
87,15.8232,10.8086,15.3697,0.2468,0.6414
92,13.5011,8.3822,13.5638,0.2302,0.7661
99,7.6317,4.0152,7.4753,0.2182,0.7817
